epoch,train_loss,train_acc,val_loss,val_acc
1,2.5533248610133312,0.2986256696948521,1.9645888222119348,0.4338303821062442
2,2.0911117829061348,0.4127649662240857,1.7320037522498182,0.5069897483690587
3,1.9171386028596802,0.45632424877707894,1.5687664809453632,0.5493942218080149
4,1.7477821859479257,0.5117633356627067,1.455284613182027,0.5731593662628145
5,1.6292385804244973,0.5418122525040764,1.3320102267251988,0.6109040074557316
6,1.5289579092026202,0.5751222921034241,1.2510933101121666,0.6491146318732526
7,1.4476652903737872,0.6031912415560214,1.168871317138654,0.6747437092264679
8,1.3694606172630288,0.6165851385977172,1.0577216628046648,0.6980428704566636
9,1.2862800473853644,0.643256464011181,1.0383324586445222,0.7092264678471575
10,1.2252923191884946,0.6606102958304216,1.0343822366788025,0.7180801491146319
11,1.1877812426697811,0.6696948520847892,0.9549994755324536,0.7311276794035415
12,1.1410161683935955,0.6842534358257629,0.919621160623634,0.7371854613233924
13,1.081223632644835,0.6968320521779642,0.8863779562356199,0.7530288909599254
14,1.0475399165602794,0.7052177964127649,0.8658138022229478,0.7646784715750233
15,1.0119504917342708,0.7116235732587933,0.9189828716336514,0.7483690587138863
16,0.9739758268939346,0.7232704402515723,0.8064995710247606,0.7781919850885368
17,0.9428836246095502,0.7295597484276729,0.7530483286150793,0.7917054986020503
18,0.8971745441586383,0.7407407407407407,0.8264295001551578,0.7851817334575956
19,0.8849311682093873,0.7453994875378523,0.7360810518736941,0.7945013979496738
20,0.849798641142633,0.7546005124621477,0.7843093392330691,0.7954333643988817
21,0.8194574084876579,0.7655485674353599,0.6912763607996374,0.8131407269338303
22,0.8022023567922488,0.7670626601444211,0.6974131426212394,0.8089468779123952
23,0.7744591521850256,0.7788259958071279,0.690001266769794,0.8010251630941286
24,0.7450607879447015,0.7825529932448172,0.7156186148677045,0.8056849953401678
25,0.7261229716007065,0.7904728627999068,0.6571044013223577,0.8201304753028891
26,0.6972357621045483,0.8027020731423247,0.6855209524233765,0.8168685927306617
27,0.6962074257230358,0.7959468902865129,0.6762786020020515,0.8243243243243243
28,0.6663830770171386,0.8015373864430468,0.6455306873968407,0.8271202236719478
29,0.6624381451984885,0.8063126019100861,0.6618570606922948,0.8173345759552656
30,0.6520735494412383,0.8050314465408805,0.6417679951386482,0.8285181733457595
31,0.6218450954038587,0.8177265315630096,0.6483940610597874,0.8233923578751164
32,0.6083095152423067,0.8181924062427207,0.6467892001665094,0.8224603914259087
33,0.6040567066177688,0.8236664337293268,0.573497819086712,0.8429636533084809
34,0.5831081614127366,0.8228511530398323,0.6433470906465829,0.8345759552656105
35,0.55587108119031,0.8331003959934777,0.5866492532353366,0.8448275862068966
36,0.5502508487435257,0.8322851153039832,0.62146940636071,0.8397017707362535
37,0.4612945034278215,0.8590729093873748,0.559245439782697,0.8560111835973905
38,0.4433580597607914,0.8624505008152807,0.588271561893743,0.8485554520037278
39,0.4436116916627115,0.8647798742138365,0.5457541497991891,0.8583410997204101
40,0.43256724991933493,0.8697880270207314,0.5464644699538854,0.8583410997204101
41,0.42408293515253764,0.8699044956906592,0.5710500988446156,0.8564771668219944
42,0.4179973589551878,0.8733985557884929,0.5225483002514342,0.8643988816402609
43,0.407392507149117,0.8733985557884929,0.5425744486134239,0.8630009319664492
44,0.4091872944492884,0.8715350570696483,0.5409995585884847,0.8662628145386766
45,0.3985947291354282,0.8791055206149546,0.5485230426426425,0.858807082945014
46,0.3654235159692344,0.8872583275098999,0.5252972873238515,0.8667287977632805
47,0.33627628102410917,0.895993477754484,0.5334670264447474,0.8685927306616962
48,0.3413328452891829,0.8919170743070114,0.5287467200822872,0.8704566635601119
49,0.3273483738550496,0.8989051945026788,0.5144099636630043,0.8737185461323392
50,0.3163553146450615,0.9008851618914512,0.5200516044527626,0.869524697110904
51,0.31294946364525617,0.90041928721174,0.5111624305913327,0.869990680335508
52,0.3103277210151395,0.9030980666200792,0.5138166849896354,0.8760484622553588
53,0.30908164278186046,0.9047286279990683,0.5050323137879816,0.8741845293569431
54,0.2945305610918621,0.9100861868157466,0.5065861720355698,0.8788443616029823
55,0.29546079001782755,0.9074074074074074,0.4999547627227657,0.8774464119291705
56,0.30009745711739694,0.9081062194269741,0.5320453844714531,0.8681267474370923
57,0.30051896831807334,0.9068250640577684,0.5028148589704363,0.8755824790307549
58,0.2981910194720897,0.906009783368274,0.5195412880837403,0.8802423112767941
59,0.27822966185122233,0.9132308409037969,0.5240658765210868,0.8765144454799627
60,0.28222181935092416,0.9119496855345912,0.513894524789812,0.8741845293569431
61,1.7901530520998734,0.8829489867225716,1.6386669502009439,0.874650512581547
62,1.5673282308065333,0.8823666433729327,1.557953755431162,0.869524697110904
63,1.5231322972279675,0.8914511996273002,1.501828323650449,0.8662628145386766
64,1.5040027143903583,0.8884230142091777,1.522929790857676,0.8685927306616962
